benchmark,method,overall,cliff,noncliff
CHEMBL1862_Ki,PCA,0.7052028,0.7480357,0.673011
CHEMBL1862_Ki,Ensemble,0.69771993,0.7329353,0.6714933
CHEMBL1871_Ki,PCA,0.6136707,0.8604399,0.51231766
CHEMBL1871_Ki,Ensemble,0.609118,0.86380583,0.503324
CHEMBL2034_Ki,PCA,0.6278754,0.7739882,0.53639156
CHEMBL2034_Ki,Ensemble,0.63341933,0.78395766,0.53876525
CHEMBL2047_EC50,PCA,0.59204346,0.63849086,0.5602478
CHEMBL2047_EC50,Ensemble,0.5819156,0.6313916,0.54785526
CHEMBL204_Ki,PCA,0.67363924,0.8336588,0.5426235
CHEMBL204_Ki,Ensemble,0.66785103,0.83023584,0.5341427
CHEMBL2147_Ki,PCA,0.5325473,0.59544563,0.48720664
CHEMBL2147_Ki,Ensemble,0.5222523,0.5765225,0.4836187
CHEMBL214_Ki,PCA,0.62930375,0.7410771,0.55397207
CHEMBL214_Ki,Ensemble,0.61818445,0.740066,0.534615
CHEMBL218_EC50,PCA,0.6624301,0.6957485,0.6424635
CHEMBL218_EC50,Ensemble,0.6538711,0.68979675,0.6322614
CHEMBL219_Ki,PCA,0.6268894,0.66793376,0.5984875
CHEMBL219_Ki,Ensemble,0.6316029,0.66747296,0.6069651
CHEMBL228_Ki,PCA,0.61965626,0.7009059,0.566211
CHEMBL228_Ki,Ensemble,0.6125976,0.6961552,0.5573862
CHEMBL231_Ki,PCA,0.6512665,0.8271809,0.58340716
CHEMBL231_Ki,Ensemble,0.6592892,0.8524346,0.5836101
CHEMBL233_Ki,PCA,0.7339833,0.8146248,0.6719744
CHEMBL233_Ki,Ensemble,0.70916235,0.80115193,0.63711864
CHEMBL234_Ki,PCA,0.6048809,0.6098007,0.6010413
CHEMBL234_Ki,Ensemble,0.60686517,0.62419206,0.593092
CHEMBL235_EC50,PCA,0.63174105,0.7553604,0.54339665
CHEMBL235_EC50,Ensemble,0.60971355,0.7448174,0.5108358
CHEMBL236_Ki,PCA,0.6790034,0.78317714,0.6025132
CHEMBL236_Ki,Ensemble,0.67643225,0.78664654,0.59480214
CHEMBL237_EC50,PCA,0.69148487,0.7746305,0.6077799
CHEMBL237_EC50,Ensemble,0.68914527,0.777516,0.59940696
CHEMBL237_Ki,PCA,0.67316073,0.75152975,0.6081721
CHEMBL237_Ki,Ensemble,0.6648419,0.7419626,0.6009143
CHEMBL238_Ki,PCA,0.57978266,0.69877666,0.5321536
CHEMBL238_Ki,Ensemble,0.58040625,0.7120003,0.5269429
CHEMBL239_EC50,PCA,0.65602535,0.7933626,0.542331
CHEMBL239_EC50,Ensemble,0.6493248,0.7821924,0.53984785
CHEMBL244_Ki,PCA,0.6587907,0.7717901,0.53551376
CHEMBL244_Ki,Ensemble,0.6475435,0.7522707,0.53459805
CHEMBL262_Ki,PCA,0.66998535,0.6294448,0.6788491
CHEMBL262_Ki,Ensemble,0.68579376,0.6122014,0.7014214
CHEMBL264_Ki,PCA,0.5606241,0.61802447,0.51578313
CHEMBL264_Ki,Ensemble,0.5549079,0.615909,0.50692075
CHEMBL2835_Ki,PCA,0.42045465,0.8243989,0.34486514
CHEMBL2835_Ki,Ensemble,0.40733102,0.80878127,0.33128986
CHEMBL287_Ki,PCA,0.6562808,0.70615375,0.6229201
CHEMBL287_Ki,Ensemble,0.63675654,0.6935797,0.5983162
CHEMBL2971_Ki,PCA,0.5982448,0.8422889,0.5334478
CHEMBL2971_Ki,Ensemble,0.5787014,0.785832,0.5253002
CHEMBL3979_EC50,PCA,0.6009268,0.6418846,0.5699684
CHEMBL3979_EC50,Ensemble,0.6037946,0.63688207,0.57908094
CHEMBL4005_Ki,PCA,0.6144407,0.7825488,0.45573446
CHEMBL4005_Ki,Ensemble,0.6142805,0.770091,0.47047162
CHEMBL4203_Ki,PCA,0.8753174,1.3293487,0.8188394
CHEMBL4203_Ki,Ensemble,0.88457114,1.3269445,0.8300305
CHEMBL4616_EC50,PCA,0.65793985,0.7033305,0.6037735
CHEMBL4616_EC50,Ensemble,0.6574921,0.7137674,0.589019
CHEMBL4792_Ki,PCA,0.5947007,0.6214752,0.56181824
CHEMBL4792_Ki,Ensemble,0.5950031,0.62244534,0.56125784
